Fecha,Título,Link
,Comparación de manchas de inundación 1930 vs 2002,https://www.eldia.com/nota/2019-3-3-2-51-15-comparacion-de-manchas-de-inundacion-1930-vs-2002-la-ciudad
,Inundación: pérdidas por 250 millones en La Plata,https://www.eldia.com/nota/2008-3-4-inundacion-perdidas-por-250-millones-en-la-plata
,Oficializan tres días de Duelo Nacional por la trágica inundación de ...,https://www.eldia.com/nota/2025-3-10-9-30-0-oficializan-tres-dias-de-duelo-nacional-por-la-tragica-inundacion-de-bahia-blanca-informacin-general
,"Los platenses le pusieron el ""pecho"" a la inundación y los clubes de ...",https://www.eldia.com/nota/2023-8-18-11-35-0-los-platenses-le-pusieron-el-pecho-a-la-inundacion-y-los-clubes-de-barrio-fueron-clave-para-asistir-a-evacuados-la-ciudad
,VIDEO. Hay cerca de 200 evacuados en La Plata por las ...,https://www.eldia.com/nota/2023-8-17-11-46-0-ya-hay-calles-anegadas-en-el-centro-de-la-plata-y-abren-al-menos-cinco-centros-de-evacuados-la-ciudad
,Diputados nacionales homenajean a las víctimas de la inundación,https://www.eldia.com/nota/2022-4-2-18-47-0-diputados-nacionales-homenajean-a-las-victimas-de-la-inundacion--politica-y-economia
,El rescate de una carta familiar habla de otra inundación grave en ...,https://www.eldia.com/nota/2013-4-18-el-rescate-de-una-carta-familiar-habla-de-otra-inundacion-grave-en-1911
,"Duro golpe al oficialismo municipal, bajo la incidencia de la ...",https://www.eldia.com/nota/2013-8-13-duro-golpe-al-oficialismo-municipal-bajo-la-incidencia-de-la-inundacion/amp
,Actividades a una década de la inundación,https://www.eldia.com/nota/2023-4-2-2-33-33-actividades-a-una-decada-de-la-inundacion-la-ciudad
,Da inicio el juicio por la inundación del 2 de abril de 2013 - Política ...,https://www.eldia.com/nota/2019-3-5-19-48-0-comienza-el-juicio-por-la-inundacion-del-2-de-abril-de-2013-politica-y-economia/amp
,Oficializan tres días de Duelo Nacional por la trágica inundación de ...,https://www.eldia.com/nota/2025-3-10-9-30-0-oficializan-tres-dias-de-duelo-nacional-por-la-tragica-inundacion-de-bahia-blanca-informacin-general
,Se llevó a cabo el homenaje por las víctimas de la inundación en el ...,https://www.eldia.com/nota/2023-4-2-16-54-0-se-llevo-a-cabo-el-homenaje-por-las-victimas-de-la-inundacion-en-el-10-aniversario-la-ciudad
,Arias dice que en la inundación del 2 de abril murieron 89 personas,https://www.eldia.com/nota/2014-3-25-arias-dice-que-en-la-inundacion-del-2-de-abril-murieron-89-personas
,Movilización a nueve meses de la trágica inundación del 2 de abril,https://www.eldia.com/nota/2014-1-2-movilizacion-a-nueve-meses-de-la-tragica-inundacion-del-2-de-abril
,Axel Kicillof monitoreó el operativo por la inundación en Berisso,https://www.eldia.com/nota/2024-3-20-13-26-0-axel-kicillof-monitoreo-el-operativo-por-la-inundacion-en-berisso-politica-y-economia
,Se realiza hoy la primera audiencia del debate en la causa por la ...,https://www.eldia.com/nota/2019-3-6-3-21-34-se-realiza-hoy-la-primera-audiencia-del-debate-en-la-causa-por-la-inundacion-politica-y-economia
,Nueva marcha de vecinos a tres meses de la inundación - La Ciudad,https://www.eldia.com/edis/20130702/Nueva-marcha-vecinos-tres-meses-inundacion-20130702210957.htm
,Julio Garro a 10 años de la inundación: “No podemos dejar de ...,https://www.eldia.com/nota/2023-4-2-17-16-0-julio-garro-a-10-anos-de-la-inundacion-no-podemos-dejar-de-recordar--politica-y-economia
,Nutrida movilización a dos meses de la trágica inundación,https://www.eldia.com/nota/2013-6-3-nutrida-movilizacion-a-dos-meses-de-la-tragica-inundacion
,Recuerdan a Epecuén a 30 años de la inundación,https://www.eldia.com/nota/2015-11-11-recuerdan-a-epecuen-a-30-anos-de-la-inundacion
,“Abrazo de madre”: la película brasileña con sello platense que ...,https://www.eldia.com/nota/2024-11-24-4-13-38-abrazo-de-madre-la-pelicula-brasilena-con-sello-platense-que-explora-el-trauma-de-una-inundacion-temas
,La UNLP no entrega diplomas a quienes lo perdieron en inundación,https://www.eldia.com/nota/2013-8-1-la-unlp-no-entrega-diplomas-a-quienes-lo-perdieron-en-inundacion
,La inundación que viene de lejos,https://www.eldia.com/nota/2016-11-2-la-inundacion-que-viene-de-lejos
,Con un acto y movilización recordarán la inundación de 2013,https://www.eldia.com/nota/2024-4-2-2-47-25-con-un-acto-y-movilizacion-recordaran-la-inundacion-de-2013-la-ciudad
,Video: las actividades a 5 años de la trágica inundación culminaron ...,https://www.eldia.com/nota/2018-4-2-10-38-0-comenzaron-las-actividades-por-justicia-y-verdad-a-5-anos-de-la-tragica-inundacion-la-ciudad
,Miles de platenses sacaron el certificado de inundación: ya se ...,https://www.eldia.com/nota/2013-4-10-miles-de-platenses-sacaron-el-certificado-de-inundacion-ya-se-tramitan-los-creditos
,Estudiantes de la UNS crean plataforma solidaria tras la inundación ...,https://www.eldia.com/nota/2025-3-19-12-37-0-estudiantes-de-la-uns-crean-plataforma-solidaria-tras-la-inundacion-en-bahia-blanca-informacion-general
,Con un acto y movilización recordarán la inundación de 2013,https://www.eldia.com/nota/2024-4-2-2-47-25-con-un-acto-y-movilizacion-recordaran-la-inundacion-de-2013-la-ciudad
,"Bahía Blanca, tras la inundación: evalúan alternativas para la ...",https://www.eldia.com/nota/2025-3-21-11-40-0-bahia-blanca-tras-la-inundacion-evaluan-alternativas-para-la-reconstruccion-del-canal-maldonado-politica-y-economia
,Susto en un Carrefour de La Plata en medio de la lluvia: cedió el ...,https://www.eldia.com/nota/2025-4-17-19-36-0-en-un-hipermercado-de-la-plata-el-techo-cedio-por-la-lluvia-y-se-inundo-el-patio-de-comidas-la-ciudad
,"A siete meses de la inundación, hubo reclamos en plaza Moreno ...",https://www.eldia.com/edis/20131102/A-siete-meses-inundacion-hubo-reclamos-plaza-Moreno-20131102213346.htm
,Inundación en Bahía Blanca: la reconstrucción de la ciudad costará ...,https://www.eldia.com/nota/2025-3-10-11-27-0-inundacion-en-bahia-blanca-la-reconstruccion-de-la-ciudad-costara-mas-de-400-mil-millones-de-pesos-informacion-general
,Avanzan las obras pluviales en el Arroyo Regimiento: buscan ...,https://www.eldia.com/nota/2025-2-4-9-45-0-avanzan-obras-pluviales-en-torno-al-arroyo-regimiento-buscan-mejorar-drenajes-y-reducir-riesgos-de-inundacion-la-ciudad
,Pasos a seguir para propietarios de autos dañados por la inundación,https://www.eldia.com/nota/2013-4-5-pasos-a-seguir-para-propietarios-de-autos-danados-por-la-inundacion
,Problemas de inundación,https://www.eldia.com/nota/2007-5-3-problemas-de-inundacion
,El presidente Milei recorrió Bahía Blanca para monitorear la ayuda ...,https://www.eldia.com/nota/2025-3-12-8-8-0-el-presidente-milei-llego-a-bahia-blanca-politica-y-economia
,Bahía Blanca: reconstruyen 51 calles dañadas por la inundación,https://www.eldia.com/nota/2025-5-5-9-25-0-bahia-blanca-reconstruyen-51-calles-danadas-por-la-inundacion-politica-y-economia
,"A siete meses de la inundación, hubo reclamos en plaza Moreno",https://www.eldia.com/nota/2013-11-2-a-siete-meses-de-la-inundacion-hubo-reclamos-en-plaza-moreno
,VIDEO.- Así vivieron la inundación los lectores de EL DIA,https://www.eldia.com/nota/2018-5-11-15-6-0-video---asi-vivieron-la-inundacion-los-lectores-de-el-dia-la-ciudad
,"Por la inundación, en el Biológico se perdieron cientos de vacunas ...",https://www.eldia.com/nota/2013-4-17-por-la-inundacion-en-el-biologico-se-perdieron-cientos-de-vacunas/amp
,Continúan los cortes totales en rutas nacionales cerca de Bahía ...,https://www.eldia.com/nota/2025-3-17-16-17-0-continuan-los-cortes-totales-en-rutas-nacionales-cerca-de-bahia-blanca-debido-a-la-inundacion-informacion-general
,Misa y varios actos por los 3 años de la inundación,https://www.eldia.com/nota/2016-4-1-misa-y-varios-actos-por-los-3-anos-de-la-inundacion
,Luego de las inundaciones preocupan las enfermedades,https://www.eldia.com/nota/2024-5-29-1-37-57-luego-de-las-inundaciones-preocupan-las-enfermedades-informacion-general
,"Alak: ""La inundación fue por falta de obras""",https://www.eldia.com/nota/2023-8-18-20-23-0-alak-la-inundacion-fue-por-falta-de-obras--politica-y-economia
,Luego de las inundaciones preocupan las enfermedades,https://www.eldia.com/nota/2024-5-29-1-37-57-luego-de-las-inundaciones-preocupan-las-enfermedades-informacion-general
,"Alak: ""La inundación fue por falta de obras""",https://www.eldia.com/nota/2023-8-18-20-23-0-alak-la-inundacion-fue-por-falta-de-obras--politica-y-economia
,Lionel Messi expresó su solidaridad con Bahía Blanca tras la ...,https://www.eldia.com/nota/2025-3-10-12-1-0-lionel-messi-expreso-su-solidaridad-con-bahia-blanca-tras-la-inundacion-informacion-general
,Realizan marcha a 20 meses de la inundación del 2 de abril - La ...,https://www.eldia.com/edis/20141202/Realizan-marcha-meses-inundacion-abril-20141202201539.htm
,Denuncian inundación de esteros del Iberá,https://www.eldia.com/nota/2003-3-3-denuncian-inundacion-de-esteros-del-ibera
,El fuerte sentimiento de desamparo frente a la terrible inundación,https://www.eldia.com/nota/2024-11-1-4-4-49-el-fuerte-sentimiento-de-desamparo-frente-a-la-terrible-inundacion-el-mundo
,Aumentan en Bahía Blanca las consultas por salud mental infantil ...,https://www.eldia.com/nota/2025-6-16-14-15-0-aumentan-en-bahia-blanca-las-consultas-por-salud-mental-infantil-tras-la-inundacion-politica-y-economia
,"Tras la inundación, el Gobierno bonaerense ya entregó los primeros ...",https://www.eldia.com/nota/2025-4-12-12-36-0-tras-la-inundacion-el-gobierno-bonaerense-ya-entrego-los-primeros-subsidios-de-800-mil-a-damnificados-en-bahia-blanca-informacion-general
,Areco: la Justicia citó al Gobierno por inundación,https://www.eldia.com/nota/2010-1-4-areco-la-justicia-cito-al-gobierno-por-inundacion
,"Bahía Blanca, sin ayuda nacional: Milei vetó la ley de emergencia ...",https://www.eldia.com/nota/2025-6-24-9-54-0-bahia-blanca-sin-ayuda-nacional-milei-veto-la-ley-de-emergencia-por-la-inundacion-politica-y-economia
,VIDEO.- Mayra Mendoza insultó en vivo a un periodista que ...,https://www.eldia.com/nota/2023-12-19-8-45-0-video---mayra-mendoza-insulto-en-vivo-a-un-periodista-que-informaba-sobre-la-inundacion-en-quilmes-politica-y-economia
,Dos libros sobre la inundación de Epecuén,https://www.eldia.com/nota/2024-1-28-6-6-36-dos-libros-sobre-la-inundacion-de-epecuen-temas
,Más de 3.400 millones de pesos en pérdidas de bienes por la ...,https://www.eldia.com/nota/2013-6-2-mas-de-3-400-millones-de-pesos-en-perdidas-de-bienes-por-la-inundacion
,“Nunca en la historia hubo una inundación así en Concordia”,https://www.eldia.com/nota/2015-12-26--nunca-en-la-historia-hubo-una-inundacion-asi-en-concordia
,Arriba del techo para salvarse de la inundación,https://www.eldia.com/nota/2018-7-12-3-19-44-arriba-del-techo-para-salvarse-de-la-inundacion-informacion-general
,Cristina agradeció a la UNLP su colaboración tras la inundación,https://www.eldia.com/nota/2013-5-2-cristina-agradecio-a-la-unlp-su-colaboracion-tras-la-inundacion
,Devolverán las patentes pagas por autos que se inundaron ...,https://www.eldia.com/nota/2013-11-4-devolveran-las-patentes-pagas-por-autos-que-se-inundaron/amp
,"Invasión de mosquitos en la Región: ""No es el transmisor del ...",https://www.eldia.com/nota/2024-2-19-12-35-0-invasion-de-mosquitos-no-es-el-transmisor-del-dengue-este-es-un-insecto-de-inundacion--fm-la-redonda
,"Un año después de la inundación, el Hospital Español vuelve a ...",https://www.eldia.com/nota/2014-4-19-un-ano-despues-de-la-inundacion-el-hospital-espanol-vuelve-a-ponerse-de-pie
,"Tras la inundación, falta mucho para recuperar los arroyos",https://www.eldia.com/nota/2008-4-20-tras-la-inundacion-falta-mucho-para-recuperar-los-arroyos
